"","stock","species","broodyear","recruits","spawners","stock.id"
"64","Atnarko","Sockeye",1987,90984,30780,2
"65","Atnarko","Sockeye",1988,62288,30000,2
"66","Atnarko","Sockeye",1989,39421,15000,2
"67","Atnarko","Sockeye",1990,54979,20000,2
"68","Atnarko","Sockeye",1991,69361,52500,2
"69","Atnarko","Sockeye",1992,49322,41000,2
"70","Atnarko","Sockeye",1993,28183,15000,2
"71","Atnarko","Sockeye",1994,41466,25000,2
"72","Atnarko","Sockeye",1995,26868,55000,2
"73","Atnarko","Sockeye",1996,22151,45000,2
"74","Atnarko","Sockeye",1997,35068,20000,2
"75","Atnarko","Sockeye",1998,44282,30000,2
"76","Atnarko","Sockeye",1999,26684,25000,2
"77","Atnarko","Sockeye",2000,23413,15000,2
"78","Atnarko","Sockeye",2001,7454,30000,2
"79","Atnarko","Sockeye",2002,6519,50000,2
"80","Atnarko","Sockeye",2003,937,18000,2
"81","Atnarko","Sockeye",2004,2877,25000,2
"82","Atnarko","Sockeye",2005,3835,6000,2
"83","Atnarko","Sockeye",2006,2126,6000,2
"84","Atnarko","Sockeye",2007,1926,1200,2
"85","Atnarko","Sockeye",2008,4142,900,2
"86","Atnarko","Sockeye",2009,1400,3500,2
"87","Atnarko","Sockeye",2010,2858,2300,2
"88","Atnarko","Sockeye",2011,13609,1500,2
"92","Ayakulik","Sockeye",1966,137380,66057,3
"93","Ayakulik","Sockeye",1967,148399,227089,3
"94","Ayakulik","Sockeye",1968,262662,220850,3
"95","Ayakulik","Sockeye",1969,105521,71160,3
"96","Ayakulik","Sockeye",1970,39426,33863,3
"97","Ayakulik","Sockeye",1971,288749,109174,3
"98","Ayakulik","Sockeye",1972,564192,113733,3
"99","Ayakulik","Sockeye",1973,330218,119993,3
"100","Ayakulik","Sockeye",1974,449567,181631,3
"101","Ayakulik","Sockeye",1975,463560,94517,3
"102","Ayakulik","Sockeye",1976,836326,219047,3
"103","Ayakulik","Sockeye",1977,287347,306982,3
"104","Ayakulik","Sockeye",1978,122271,132864,3
"105","Ayakulik","Sockeye",1979,254507,222270,3
"106","Ayakulik","Sockeye",1980,1152533,774328,3
"107","Ayakulik","Sockeye",1981,1091980,279200,3
"108","Ayakulik","Sockeye",1982,240472,169678,3
"109","Ayakulik","Sockeye",1983,382082,171415,3
"110","Ayakulik","Sockeye",1984,604314,283215,3
"111","Ayakulik","Sockeye",1985,1786779,388759,3
"112","Ayakulik","Sockeye",1986,1730211,318135,3
"113","Ayakulik","Sockeye",1987,1015566,261913,3
"114","Ayakulik","Sockeye",1988,325535,291774,3
"115","Ayakulik","Sockeye",1989,752667,768101,3
"116","Ayakulik","Sockeye",1990,600475,371282,3
"117","Ayakulik","Sockeye",1991,1265306,384859,3
"118","Ayakulik","Sockeye",1992,582033,344184,3
"119","Ayakulik","Sockeye",1993,772668,286170,3
"120","Ayakulik","Sockeye",1994,1454916,380181,3
"121","Ayakulik","Sockeye",1995,683791,317832,3
"122","Ayakulik","Sockeye",1996,482553,337155,3
"123","Ayakulik","Sockeye",1997,91798,308214,3
"124","Ayakulik","Sockeye",1998,212283,427208,3
"125","Ayakulik","Sockeye",1999,474020,295716.6156,3
"126","Ayakulik","Sockeye",2000,291385,208651,3
"127","Ayakulik","Sockeye",2001,194600,218892,3
"128","Ayakulik","Sockeye",2002,313385,229292,3
"129","Ayakulik","Sockeye",2003,233514,197892,3
"130","Ayakulik","Sockeye",2004,298125,275238,3
"131","Ayakulik","Sockeye",2005,491723,251906,3
"132","Ayakulik","Sockeye",2006,420587,87780.0001,3
"133","Ayakulik","Sockeye",2007,636865,283042,3
"134","Ayakulik","Sockeye",2008,353420,162888,3
"135","Ayakulik","Sockeye",2009,480608,315184,3
"136","Ayakulik","Sockeye",2010,992533,262327,3
"144","Bear","Sockeye",1981,318386,214728,4
"145","Bear","Sockeye",1982,280870,104503,4
"146","Bear","Sockeye",1983,319246,172143,4
"147","Bear","Sockeye",1984,503626,108151,4
"148","Bear","Sockeye",1985,939836,170739,4
"149","Bear","Sockeye",1986,870243,98921,4
"150","Bear","Sockeye",1987,1088611,83395,4
"151","Bear","Sockeye",1988,690272,140660,4
"152","Bear","Sockeye",1989,1069218,204804,4
"153","Bear","Sockeye",1990,1188080,262946,4
"154","Bear","Sockeye",1991,376415,173913,4
"155","Bear","Sockeye",1992,503964,195830,4
"156","Bear","Sockeye",1993,540820,197988,4
"157","Bear","Sockeye",1994,787727,204441,4
"158","Bear","Sockeye",1995,713745,107961,4
"159","Bear","Sockeye",1996,503017,119629,4
"160","Bear","Sockeye",1997,348670,145311,4
"161","Bear","Sockeye",1998,226082,193420,4
"162","Bear","Sockeye",1999,114120,127890,4
"163","Bear","Sockeye",2000,740756,90947,4
"164","Bear","Sockeye",2001,401742,122505,4
"165","Bear","Sockeye",2002,1042167,95520,4
"166","Bear","Sockeye",2003,903429,139799,4
"167","Bear","Sockeye",2004,293118,80435,4
"168","Bear","Sockeye",2005,457637,221752,4
"169","Bear","Sockeye",2006,150731,182005,4
"170","Bear","Sockeye",2007,117462,224767,4
"171","Bear","Sockeye",2008,318351,195474,4
"172","Bear","Sockeye",2009,519639,133263,4
"173","Bear","Sockeye",2010,515426,142966,4
"291","Black Lake","Sockeye",1965,1948139,307192,5
"292","Black Lake","Sockeye",1966,1303562,383545,5
"293","Black Lake","Sockeye",1967,240643,328000,5
"294","Black Lake","Sockeye",1968,1210282,342343,5
"295","Black Lake","Sockeye",1969,477876,366589,5
"296","Black Lake","Sockeye",1970,446677,536257,5
"297","Black Lake","Sockeye",1971,1382628,671668,5
"298","Black Lake","Sockeye",1972,912946,326320,5
"299","Black Lake","Sockeye",1973,1243249,538462.0188,5
"300","Black Lake","Sockeye",1974,630062,364602.9223,5
"301","Black Lake","Sockeye",1975,361222,326563,5
"302","Black Lake","Sockeye",1976,1242182,553754,5
"303","Black Lake","Sockeye",1977,2181469,364557.2167,5
"304","Black Lake","Sockeye",1978,1087180,419731.6671,5
"305","Black Lake","Sockeye",1979,3347748,491467.4483,5
"306","Black Lake","Sockeye",1980,1726619,369580.3608,5
"307","Black Lake","Sockeye",1981,1910700,570209.7109,5
"308","Black Lake","Sockeye",1982,2250486,616117,5
"309","Black Lake","Sockeye",1983,592496,426177.6558,5
"310","Black Lake","Sockeye",1984,714559,597712.782,5
"311","Black Lake","Sockeye",1985,796950,376578,5
"312","Black Lake","Sockeye",1986,2413019,557771.8391,5
"313","Black Lake","Sockeye",1987,1462800,589299.016,5
"314","Black Lake","Sockeye",1988,1642102,420579.8777,5
"315","Black Lake","Sockeye",1989,1682130,384000.6569,5
"316","Black Lake","Sockeye",1990,1485840,434550.1559,5
"317","Black Lake","Sockeye",1991,1571071,662659.9907,5
"318","Black Lake","Sockeye",1992,959175,360680.7056,5
"319","Black Lake","Sockeye",1993,941757,364261.197,5
"320","Black Lake","Sockeye",1994,2041288,769464.8943,5
"321","Black Lake","Sockeye",1995,2061129,366496,5
"322","Black Lake","Sockeye",1996,1646122,464747.6207,5
"323","Black Lake","Sockeye",1997,781887,396667.9395,5
"324","Black Lake","Sockeye",1998,886267,410659.1088,5
"325","Black Lake","Sockeye",1999,995314,457423.6073,5
"326","Black Lake","Sockeye",2000,1581985,536139,5
"327","Black Lake","Sockeye",2001,875274,744015,5
"328","Black Lake","Sockeye",2002,380223,384088,5
"329","Black Lake","Sockeye",2003,691348,350004,5
"330","Black Lake","Sockeye",2004,919790,363800,5
"331","Black Lake","Sockeye",2005,1505933,355091,5
"332","Black Lake","Sockeye",2006,3239001,366497,5
"333","Black Lake","Sockeye",2007,870603,361091,5
"334","Black Lake","Sockeye",2008,2547085,377579,5
"335","Black Lake","Sockeye",2009,404861,391476,5
"336","Black Lake","Sockeye",2010,1222204,432535,5
"454","Chignik Lake","Sockeye",1965,964356,163151,6
"455","Chignik Lake","Sockeye",1966,757841,183525,6
"456","Chignik Lake","Sockeye",1967,569183,189000,6
"457","Chignik Lake","Sockeye",1968,742221,244836,6
"458","Chignik Lake","Sockeye",1969,816987,132055,6
"459","Chignik Lake","Sockeye",1970,636440,119952,6
"460","Chignik Lake","Sockeye",1971,2279874,232501,6
"461","Chignik Lake","Sockeye",1972,1059132,231270,6
"462","Chignik Lake","Sockeye",1973,1184600,243728.9812,6
"463","Chignik Lake","Sockeye",1974,1022580,313343.0777,6
"464","Chignik Lake","Sockeye",1975,1495171,257675,6
"465","Chignik Lake","Sockeye",1976,1039396,276793,6
"466","Chignik Lake","Sockeye",1977,1408755,328915.7833,6
"467","Chignik Lake","Sockeye",1978,920712,262815.3329,6
"468","Chignik Lake","Sockeye",1979,881483,246318,6
"469","Chignik Lake","Sockeye",1980,934875,294480.6392,6
"470","Chignik Lake","Sockeye",1981,713689,261239.2891,6
"471","Chignik Lake","Sockeye",1982,929500,221611,6
"472","Chignik Lake","Sockeye",1983,1245680,428034.3442,6
"473","Chignik Lake","Sockeye",1984,1974465,268495,6
"474","Chignik Lake","Sockeye",1985,784548,369260,6
"475","Chignik Lake","Sockeye",1986,1242159,215547.1609,6
"476","Chignik Lake","Sockeye",1987,1757451,214443.984,6
"477","Chignik Lake","Sockeye",1988,664969,255177.1223,6
"478","Chignik Lake","Sockeye",1989,1630416,557174.3431,6
"479","Chignik Lake","Sockeye",1990,1011618,335859.8441,6
"480","Chignik Lake","Sockeye",1991,980550,377438.0093,6
"481","Chignik Lake","Sockeye",1992,1095978,403755.2944,6
"482","Chignik Lake","Sockeye",1993,1537372,333115.803,6
"483","Chignik Lake","Sockeye",1994,1263379,197444.1057,6
"484","Chignik Lake","Sockeye",1995,1326001,373424.7019,6
"485","Chignik Lake","Sockeye",1996,1389229,284389.3793,6
"486","Chignik Lake","Sockeye",1997,966238,378950.0605,6
"487","Chignik Lake","Sockeye",1998,512228,290468.8912,6
"488","Chignik Lake","Sockeye",1999,349904,258542.3927,6
"489","Chignik Lake","Sockeye",2000,1123572,269086,6
"490","Chignik Lake","Sockeye",2001,932346,392903,6
"491","Chignik Lake","Sockeye",2002,756062,341132,6
"492","Chignik Lake","Sockeye",2003,1008413,334119,6
"493","Chignik Lake","Sockeye",2004,1275621,214459,6
"494","Chignik Lake","Sockeye",2005,1013999,225366,6
"495","Chignik Lake","Sockeye",2006,1583233,368995.601,6
"496","Chignik Lake","Sockeye",2007,995847,293883,6
"497","Chignik Lake","Sockeye",2008,1040801,328479.0781,6
"498","Chignik Lake","Sockeye",2009,1274820,328585.7231,6
"499","Chignik Lake","Sockeye",2010,1163649,311376,6
"579","Chilkoot","Sockeye",1976,126595,71291,7
"580","Chilkoot","Sockeye",1977,294302,97368,7
"581","Chilkoot","Sockeye",1978,280273,35454,7
"582","Chilkoot","Sockeye",1979,347858,96122,7
"583","Chilkoot","Sockeye",1980,213671,98673,7
"584","Chilkoot","Sockeye",1981,276484,84407,7
"585","Chilkoot","Sockeye",1982,348922,103038,7
"586","Chilkoot","Sockeye",1983,421796,80141,7
"587","Chilkoot","Sockeye",1984,353047,100781,7
"588","Chilkoot","Sockeye",1985,229079,69141,7
"589","Chilkoot","Sockeye",1986,296614,88024,7
"590","Chilkoot","Sockeye",1987,234015,94208,7
"591","Chilkoot","Sockeye",1988,68419,81274,7
"592","Chilkoot","Sockeye",1989,52073,54900,7
"593","Chilkoot","Sockeye",1990,13495,76119,7
"594","Chilkoot","Sockeye",1991,75508,92375,7
"595","Chilkoot","Sockeye",1992,79773,77601,7
"596","Chilkoot","Sockeye",1993,16526,52080,7
"597","Chilkoot","Sockeye",1994,25815,37007,7
"598","Chilkoot","Sockeye",1995,51310,7177,7
"599","Chilkoot","Sockeye",1996,145979,50739,7
"600","Chilkoot","Sockeye",1997,90778,44254,7
"601","Chilkoot","Sockeye",1998,65633,12335,7
"602","Chilkoot","Sockeye",1999,178310,19284,7
"603","Chilkoot","Sockeye",2000,102277,43555,7
"604","Chilkoot","Sockeye",2001,220505,76283,7
"605","Chilkoot","Sockeye",2002,180281,58361,7
"606","Chilkoot","Sockeye",2003,50730,75065,7
"607","Chilkoot","Sockeye",2004,52915,77660,7
"608","Chilkoot","Sockeye",2005,119487,51178,7
"609","Chilkoot","Sockeye",2006,82826,96203,7
"610","Chilkoot","Sockeye",2007,255796,72678,7
"611","Chilkoot","Sockeye",2008,63900,33117,7
"612","Chilkoot","Sockeye",2009,177451,33705,7
"613","Chilkoot","Sockeye",2010,187509,71657,7
"614","Chilkoot","Sockeye",2011,207662,65915,7
"620","Coghill","Sockeye",1962,54520,26866,8
"621","Coghill","Sockeye",1963,63949,63984,8
"622","Coghill","Sockeye",1964,163130,22200,8
"623","Coghill","Sockeye",1965,77666,62500,8
"624","Coghill","Sockeye",1966,86158,82500,8
"625","Coghill","Sockeye",1967,153330,33000,8
"626","Coghill","Sockeye",1968,137506,11800,8
"627","Coghill","Sockeye",1969,91748,81000,8
"628","Coghill","Sockeye",1970,220866,35200,8
"629","Coghill","Sockeye",1971,46728,15000,8
"630","Coghill","Sockeye",1972,218568,51000,8
"631","Coghill","Sockeye",1973,233688,55000,8
"632","Coghill","Sockeye",1974,110824,22334,8
"633","Coghill","Sockeye",1975,191527,34855,8
"634","Coghill","Sockeye",1976,173529,9056,8
"635","Coghill","Sockeye",1977,1251046,31562,8
"636","Coghill","Sockeye",1978,70302,42284,8
"637","Coghill","Sockeye",1979,150406,48281,8
"638","Coghill","Sockeye",1980,473655,142253,8
"639","Coghill","Sockeye",1981,496237,156112,8
"640","Coghill","Sockeye",1982,612158,180314,8
"641","Coghill","Sockeye",1983,106297,38783,8
"642","Coghill","Sockeye",1984,203086,63622,8
"643","Coghill","Sockeye",1985,16596,163342,8
"644","Coghill","Sockeye",1986,26916,74135,8
