"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"log_a",0.600554862746757,0.00555689091025498,0.276184468026047,0.094399783776841,0.405683109518975,0.590307525825477,0.788496155864105,1.14845045935696,2470.21503278704,1.00581168083987
"b[1]",0.201158989776796,0.00187033509237562,0.162501476574202,0.0126412948511051,0.0779875261495746,0.159807228432674,0.284036404115299,0.604963297888699,7548.76278655108,0.999714087122013
"b[2]",0.169429599005698,0.00165548092050838,0.143494446068101,0.00671279957133083,0.0608813296714741,0.134075637080618,0.240575657385786,0.53119501860734,7513.14593214197,0.999720602212366
"b[3]",0.17344681279054,0.00211358463004074,0.164923116583368,0.00455992559704644,0.0536791111814023,0.126557509733762,0.242153197633663,0.606247011519027,6088.68886707189,1.00097463645304
"b[4]",0.180117890283987,0.00248392459821666,0.172738998494116,0.00305587714897567,0.0504963371963534,0.129712705805256,0.257315172107001,0.637359367500067,4836.19694119207,1.00204543797466
"b[5]",0.170585464956434,0.0023740319201445,0.157570181814246,0.00201702339967722,0.0485581038755009,0.125171438555324,0.248513005240375,0.572193216269495,4405.2946764476,1.00313403786262
"b[6]",0.138974650256869,0.00160913918176302,0.120186639668258,0.001742646464473,0.0423737343632883,0.107939527644684,0.207624956150144,0.431344475608858,5578.59927322731,1.0019776933186
"b[7]",0.138786591796991,0.00169252631114207,0.131972400621694,0.0014844081407313,0.0397135940765707,0.101785116289549,0.196648869236093,0.481617104232563,6079.88515761196,1.00129027354534
"b[8]",0.142389566949102,0.001848273458234,0.137217601079894,0.00108322691981091,0.0401814809415349,0.10568461741229,0.202231746502746,0.493713992046359,5511.72055931196,1.00200822074799
"b[9]",0.143599810186418,0.00164839300060673,0.12558285409,0.000945592504489782,0.0452470277532011,0.113488859915273,0.209582286560418,0.453933626364314,5804.15730668626,1.00174262032221
"b[10]",0.191357557925845,0.0029434715753443,0.156058820504002,0.000959984624071058,0.0578641651732468,0.159066883648596,0.295525115833525,0.536015313734851,2810.97477170565,1.00515233960396
"b[11]",0.141732326575213,0.00162537795178134,0.114981373431649,0.000948241923243683,0.0482153701866531,0.119010917668029,0.208356870247777,0.415610505819206,5004.33362622264,1.0008660235603
