"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"log_a",2.41050198891757,0.00309923915473594,0.189680948921341,2.04272944428231,2.28177321433122,2.41018304271811,2.53992216522289,2.78285281026804,3745.73670725901,1.00153744572588
"b[1]",3.04263035404326,0.0239695204785347,1.93212560623124,0.251200250089264,1.57328135087233,2.76687728491209,4.16966397414159,7.56601003611705,6497.58576496438,1.00109857451101
"b[2]",3.28950765992702,0.0266846445640188,1.96975913091654,0.271506828208513,1.76861101168485,3.07801505892332,4.53734947479001,7.6606717325126,5448.83177441666,1.00149510206549
"b[3]",3.78981024886583,0.0345052332031345,2.28959288409943,0.279189617497613,1.96856695548949,3.57732984335851,5.33482460755569,8.68123378026858,4402.97885169396,1.00138320333387
"b[4]",4.3446383245511,0.0500664579729147,3.04098746980416,0.282801151104995,2.03314082285232,3.7820717211145,6.03971634243887,11.647519629851,3689.22825371795,1.00194809955729
"b[5]",4.14715347083517,0.0436833412188439,2.82925710261693,0.285098668252736,1.94039329375049,3.66793359355089,5.79628767593598,10.9131461970152,4194.81808524895,1.00143088773404
"b[6]",3.8454135595133,0.0352922257504569,2.47587369627218,0.272661817563654,1.87391207328816,3.49689226499482,5.43364549848489,9.46334916666996,4921.51569748356,1.00094617043791
"b[7]",4.26095423462018,0.0450980676753411,2.94106771259536,0.271073615596168,1.94169858547361,3.74125399239646,6.03337630805928,11.1459558344704,4252.98821130726,1.00118823446167
"b[8]",4.92030755408828,0.0678702038392155,3.95641911421435,0.294462172563036,1.9982028152552,3.97912073418622,6.77566036929844,15.0925524110551,3398.1791871325,1.00157495374313
"b[9]",5.46149445151353,0.0869524158533152,4.7438076404184,0.290160955798998,2.0212591189775,4.2030194423574,7.49707210896859,17.7632595539388,2976.39684091106,1.00194166163345
"b[10]",4.82802660418025,0.0620228901120661,3.74617169857779,0.280898305399157,1.94905378960406,3.88987781181925,6.772012005397,14.1901312731655,3648.13884019324,1.00141836638451
"b[11]",4.60250658036856,0.0566390612098886,3.44581418664072,0.274188630849321,1.90397500812748,3.78207280450948,6.57312780784209,12.8586697008423,3701.27724055904,1.00155345271373
"b[12]",3.79432474060836,0.0368081879913211,2.71695724230709,0.272160865093267,1.70106242450705,3.25646675537608,5.28151396204073,10.3395319814946,5448.49718647456,1.00074472567538
"b[13]",3.40828511262149,0.0307239985159609,2.43217844617775,0.270711230014474,1.56985818101079,2.93705529643618,4.70194124783259,9.53730328676411,6266.64943004691,1.00083230866701
"b[14]",2.97527232703825,0.02293630798458,2.04081986432399,0.268064828903215,1.45008502831489,2.57093076539761,4.07338991900418,7.92214031859777,7917.03058028615,1.0005236714535
"b[15]",2.79287013956066,0.0208735800524967,1.91894036818955,0.270382655160502,1.35325184862739,2.40948089529709,3.82325542859785,7.45908302915443,8451.40812296657,1.00031944053942
"b[16]",2.82953073199769,0.0223463961359836,1.99424065655961,0.275216560747359,1.35465705401886,2.42544863522843,3.84335287983886,7.76339359537988,7964.16309885214,1.00062477168143
"b[17]",2.83084015729405,0.0224944893298516,1.98016847846821,0.288428524541639,1.37970409865055,2.38793206001606,3.81733427366183,7.89056635480749,7749.11327233864,1.00022149914721
"b[18]",2.80377059278865,0.021900013754975,1.95558721685856,0.305589666693511,1.38394127031427,2.37634718286768,3.7764123879444,7.54003533243255,7973.80488058541,1.00023014278852
"b[19]",2.79373944445325,0.020444487798984,1.90266910568377,0.326605045479204,1.399556274887,2.38166990735308,3.77550528099297,7.43505271239584,8661.12015979458,1.00061872092225
"b[20]",2.88913986560066,0.0208844708634402,1.94334631567988,0.360950885371456,1.46048236480806,2.49258460001333,3.8845163613172,7.66796226184548,8658.71509721312,1.0005666172836
"b[21]",2.83711389885786,0.0189610164730344,1.83929696870787,0.388475853293647,1.48234276319946,2.46273234289257,3.81780265302063,7.34405104814785,9409.80186965257,1.00083414272581
"b[22]",2.81703468479251,0.0176967723640249,1.72749099541759,0.428558538653165,1.52226062365396,2.49460349117925,3.78662678919253,6.99717383186413,9528.91505552051,1.00056797400143
"b[23]",3.02012894823834,0.0179141027571005,1.7922003539869,0.487856912677964,1.69446732060748,2.7308561432446,3.9899110467924,7.31027663749542,10008.822685841,1.0001903880431
"b[24]",3.40484830957285,0.0201016267133684,1.98818164125372,0.595932328225597,1.97293382758373,3.06452582377154,4.47652349825936,8.14757542302826,9782.49671379688,1.00020211701125
"b[25]",3.65860596268069,0.0194789515567025,1.88062452485335,0.748147832419311,2.27200746897671,3.41640520992743,4.76837335083854,7.96517287930017,9321.22595232908,1.00049148634842
"b[26]",4.20338478370844,0.0192646980006414,1.86511951657222,1.02727977362938,2.8283383154463,4.08416764287707,5.40824494046875,8.20749976623378,9373.22241853615,1.00003508299682
"b[27]",4.83857315079682,0.0219149574126414,1.98949209273335,1.33257140369483,3.41723401798771,4.74738107996958,6.1156738366315,9.0172584018323,8241.44135702865,1.00014051253654
"b[28]",6.33963267022511,0.0375874590456383,2.84112389819802,1.73761068402887,4.33339770537131,6.04122739619191,7.93949562126713,12.6930202068884,5713.39710810431,1.00090507428861
"b[29]",7.59417486883848,0.0443231779950493,3.06326700786883,2.13915838576966,5.40794824770189,7.38877052541617,9.52847082657375,14.1417679479544,4776.47955334166,1.00083676340177
"b[30]",8.19192101653018,0.0390409034837682,2.81159575537814,2.68191388740142,6.30036799004447,8.23207405821218,10.1070191653936,13.6845510842243,5186.40036197519,1.00050907847654
"b[31]",9.89835238971031,0.0707575991590141,4.28369347936526,2.73770294705784,6.83836229055326,9.49509509336867,12.4347032294123,19.4650217828013,3665.14024304706,1.00149042031441
"b[32]",9.05727797370135,0.0510284059637893,3.53457066158024,2.63054087800982,6.56027771779034,8.88390649847013,11.3858277320551,16.4416756361895,4797.87945963119,1.00074021951788
"b[33]",9.03278622657931,0.0632809738320789,4.26460103478334,2.488854425094,6.04111580538272,8.46592146057099,11.3074454243404,19.2958780807642,4541.61701297794,1.0008501701218
"b[34]",7.79967659120615,0.0405820795575146,3.28097670587917,2.28057800603116,5.49700610329142,7.4594531903559,9.81717580660135,15.0768201865327,6536.38610608823,1.00060477926515
"b[35]",7.41241944935842,0.0339922880318501,3.17083662247441,2.1615136790722,5.1310152732722,7.11114523812745,9.32621859672868,14.326181903357,8701.35595186327,1.00005866269484
"b[36]",7.93134639024849,0.0446592726152297,3.71296866466088,2.12489154007712,5.31729279196738,7.45688387367056,10.0115423061064,16.4716845210233,6912.2474599181,1.0005394762862
"b[37]",8.27551146576706,0.0430126561961292,3.46786470860163,2.32524584039547,5.76021494005821,8.01059271201121,10.4580955395457,15.9345157830141,6500.27554483872,1.0007973300973
"b[38]",8.66251036734116,0.0526540259258289,3.85906032135662,2.4263024926271,5.95881313691897,8.2034409932469,10.8864501916822,17.6618278496497,5371.55427629357,1.00057936150776
"b[39]",8.05004434272925,0.0381037294485066,2.87358077062054,2.5279583408992,6.02398613775992,8.01228256238104,9.96973921788607,13.8333162889526,5687.37478068924,1.00077707533927
"b[40]",10.641660533283,0.090903426359095,5.1910670224168,2.61584419265638,6.7728943246096,9.90052568233835,13.8679629217349,22.3039782233905,3261.01477190367,1.00253941009282
"b[41]",11.4138666251715,0.129675134284983,6.89113691066053,2.39822483513525,6.39775146787268,9.87005674579227,14.8897006108312,28.6680916605941,2824.02374488832,1.00317794498038
"b[42]",8.35899680903287,0.0613321327185896,4.0346064664664,2.10526372011915,5.36754895015716,7.79296601738458,10.8656156385866,17.5273053779011,4327.39189103292,1.00159275404489
"b[43]",6.13966952470858,0.0341608689772477,2.88487438428643,1.67767948029071,4.05770583120446,5.75603035855989,7.8009931321805,12.6721509760373,7131.74810915017,1.00067359757304
"b[44]",4.99146151447092,0.0238410292198834,2.30299886520759,1.39632821737708,3.31185999122708,4.7052918690009,6.33560108901557,10.3086506630277,9331.19892444703,1.0001616836358
"b[45]",4.47394812158551,0.0231922863592444,2.21775805273977,1.21205665433969,2.89215930617087,4.12095287259825,5.65107402284515,9.78850939353955,9144.10491566552,0.999949235149343
"b[46]",3.92817146425486,0.0190476384478173,1.90267348063763,1.10203400602688,2.58943040488771,3.66305660136649,4.94376888615214,8.43413672625061,9978.06324258887,0.999705163920522
"b[47]",3.43944598418167,0.0134836696914857,1.43831367740352,1.06414444601015,2.40069200388836,3.28748735308903,4.3068590636418,6.64466305046874,11378.6571119207,1.00002030998186
"b[48]",3.3213079161884,0.0127588936716856,1.31877981479677,1.12834625318658,2.38304573766946,3.20041756962872,4.09221604987076,6.30408706297743,10683.6227956198,1.00002999232901
"b[49]",3.10290074725095,0.00933347712832377,0.992576193640099,1.27190850927894,2.41435376857235,3.06944268750296,3.75550304770587,5.11288913380843,11309.431493971,1.00011351759198
"b[50]",3.27393085904088,0.0109747456795316,1.14835722040884,1.30186514427229,2.46063013773834,3.18676550632434,3.97390477504757,5.8018515397131,10948.7636499655,1.00036781265782
