"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"log_a",2.2172811892946,0.00161539817077574,0.183109985124413,1.85983585994254,2.09513836263177,2.21624627299271,2.3372819302496,2.5763644063131,12848.8684041472,0.99960458145583
"b[1]",1.1195648827037,0.0302892563804052,2.81416830341912,0.0142432777049769,0.134397334243871,0.390543909938626,1.05985620168064,6.95479964371182,8632.22818129636,1.00041822435988
"b[2]",1.22154512971014,0.0493930157198564,4.51096469810944,0.0081156610748539,0.115245820260405,0.361189852399443,0.993511100201082,7.34494015002097,8340.80121152677,1.00001414446893
"b[3]",1.07562143763833,0.0308117877712808,2.91429563363639,0.00536257750058382,0.101357615450054,0.331733130140408,0.942261759340279,7.12860419146476,8946.09314383612,1.00037849926317
"b[4]",1.05240772380076,0.0424900013105009,3.76748610285356,0.00352630729066841,0.0890629949124326,0.314412849016461,0.893756636943305,6.35939796247798,7861.94188182376,0.999757542363216
"b[5]",0.902899631882915,0.0238976228901494,2.28823623751797,0.00205288266617717,0.0787877134181433,0.293319966173609,0.855905206088103,5.52495966128878,9168.37378749622,1.00031221432858
"b[6]",0.943420628551474,0.0452471909479532,4.40489604860617,0.00131077710398336,0.0716914286596998,0.274189484051056,0.802399979099176,5.45537258876816,9477.37539397706,0.999997021590131
"b[7]",0.842546620926906,0.0266903503687537,2.39135993077106,0.000664007179029334,0.0664606068954925,0.260247681085277,0.768927916148658,5.04194857363037,8027.51907558417,1.00022496103151
"b[8]",0.722895328513559,0.015022243945963,1.50269025858433,0.000446594194312603,0.0590136016314359,0.248707744402781,0.728267991299963,4.55514500270427,10006.2032839524,0.99955658219202
"b[9]",0.720022064559003,0.0173132170452826,1.68781772400386,0.000261073975648823,0.0544193250405609,0.23061895424625,0.708496126883241,4.56797091915249,9503.76172337703,1.00002687486733
"b[10]",0.744402761185736,0.0256177601565503,2.59167125568333,0.000165099523671658,0.0523129027228035,0.218284495745252,0.67556098755825,4.48128567297174,10234.7564702531,1.0000334233542
"b[11]",0.681807052756021,0.0170703715337331,1.60244078175755,9.4015318011831e-05,0.0473805722864425,0.213762504978386,0.640185226353239,4.45978859246471,8812.0718818276,0.999583156294753
"b[12]",0.624408435439714,0.0155723942432403,1.46083092774515,9.89493770728147e-05,0.0441976228814399,0.209083593145585,0.61848197859558,3.74940412616942,8800.13084461168,0.999999027969369
"b[13]",0.654156521140394,0.0340445651833065,3.33295293163402,4.80967483188165e-05,0.0420336726039896,0.199969078041297,0.606234128401084,3.86444195818429,9584.35248831845,0.999765816758132
"b[14]",0.581541853780517,0.0156725015657766,1.54223399555329,3.78051301732903e-05,0.0393115768078816,0.188512125408354,0.587467012116544,3.59425304354604,9683.31144557335,0.999404816506505
"b[15]",0.523534783177917,0.013418618214277,1.31983344086073,3.60949458821373e-05,0.0374552502743097,0.180387477999327,0.560480235374488,3.09698198826522,9674.36932511689,0.999783023161672
"b[16]",0.471592280139744,0.0090180272016505,0.868892825726164,2.83689357237776e-05,0.0350434396267016,0.177244197760262,0.541388112730656,2.81794308984149,9283.44867703234,0.999619806471891
"b[17]",0.482059096505792,0.0113749967306764,1.08419151534096,2.38076238629488e-05,0.0331649148072375,0.174477653375157,0.539067889570485,2.84706674119645,9084.67609325789,0.999557620888437
"b[18]",0.518562440801775,0.0317432502905424,3.16745759652354,1.41570248820705e-05,0.0325410050425828,0.170112031309759,0.522542990858783,2.72948310529097,9956.77818836826,1.00007167851034
"b[19]",0.462341339690101,0.0108276991422875,1.08129398915113,9.96788622414257e-06,0.0306237897723578,0.169924197067121,0.510912643183498,2.55325178748995,9972.7565544527,0.999984118123163
"b[20]",0.414640263982065,0.00676719679080314,0.663814191277072,7.25402781210807e-06,0.0287135475813657,0.164801156332597,0.510105631684292,2.35999743602805,9622.22379094188,0.999694260015523
"b[21]",0.44689152209335,0.0101449752379385,0.980497606268991,4.50540077893968e-06,0.0271263954574413,0.158372406417368,0.501079355733496,2.43684943799867,9340.95097668225,1.00010222578433
"b[22]",0.465995342645036,0.0156921680622596,1.53057902075251,3.20697093403638e-06,0.0263541358172631,0.154079907196844,0.510302540932934,2.51464190808704,9513.61584926777,1.00000758449906
"b[23]",0.441182632364308,0.0105777504513439,0.991943254020074,2.4851447826847e-06,0.0256002526770806,0.151957873448078,0.498573400665416,2.49976575536536,8794.01136349274,1.00015911159786
"b[24]",0.419972071044182,0.0081219712897049,0.748386873374141,2.45022315566204e-06,0.0245280567553967,0.151629653960807,0.491732616237062,2.45057280496368,8490.42486092645,1.00009889695641
"b[25]",0.468923636578098,0.0188676695516559,1.45997035885027,1.85034090310285e-06,0.0235976694906749,0.151241508202441,0.479501666570691,2.51220524164652,5987.58310591383,1.0008558041556
"b[26]",0.511773625869896,0.0325570051794762,2.95480550694834,1.50134210459431e-06,0.0232199800380378,0.147032956960894,0.476032374044346,2.38061641671092,8236.99689506543,1.00059152703589
"b[27]",0.452839059888403,0.0216838662664194,2.05447072774585,1.19238065156453e-06,0.0220229716419821,0.145021751577234,0.462447861560479,2.23402387242805,8976.90181867851,1.0007754566753
"b[28]",0.355428637689468,0.00660723738309734,0.618727473033623,8.87200718191654e-07,0.0216377285245556,0.140022797712504,0.443741881069299,1.92907584135984,8769.17990104328,1.00016270529554
"b[29]",0.343941432684069,0.00696616345934683,0.673241155181201,1.07280739023019e-06,0.0206241389343089,0.139752502576453,0.429727656477693,1.841267530913,9340.15301885469,0.999980512986193
"b[30]",0.329535610080012,0.00650677690223118,0.618768431858591,5.60498276729652e-07,0.0206110263743631,0.13777604645993,0.417533201452456,1.69618556017729,9043.24850174026,1.00048728440507
"b[31]",0.302064796948781,0.00471796352735917,0.43643902778139,6.91916470821091e-07,0.0199081919806338,0.13503655650635,0.411972953978163,1.49072570600038,8557.32449681189,1.00083527677986
"b[32]",0.402946789949884,0.0327998627548764,2.91332712020186,5.18199843293798e-07,0.0195719628041951,0.133385154215395,0.409557503858701,1.56702313917743,7889.22696504617,1.00080539040227
"b[33]",0.346886053289075,0.0179269059831498,1.61916356933404,4.51943549913273e-07,0.0203058571418442,0.137520317531782,0.406128984687046,1.52379806832102,8157.75702401098,1.0002976639576
"b[34]",0.3057880694339,0.00643801704274658,0.585227356277945,4.09712991355532e-07,0.0199815931417202,0.136889351890405,0.397898580686505,1.43217203807965,8263.13777022631,1.00065558713068
"b[35]",0.278290535390138,0.00385731824564806,0.358043211335883,3.47353062476877e-07,0.0197808352839907,0.143009025916747,0.404444856198904,1.25858935187892,8615.88600668065,1.00101059499201
"b[36]",0.316378185840909,0.00670380726509818,0.63379490103651,2.24426134080447e-07,0.0210984845489151,0.15052640581127,0.424409455750113,1.39981222747545,8938.29002285096,1.00016067942499
"b[37]",0.349104350574006,0.0164050484562905,1.47175380428754,1.79512041999422e-07,0.022086176648014,0.160891030999419,0.450808146757349,1.45854669228837,8048.50649989619,1.00030956152693
"b[38]",0.332192743038233,0.00786627771836184,0.547518733661161,2.00836501463184e-07,0.0210272189762047,0.16951513157517,0.479360446731944,1.38801594095155,4844.61664112705,1.00163021997289
"b[39]",0.312739379316505,0.00420673431422602,0.337041316620842,1.52250934591582e-07,0.0223810578377479,0.193005384357726,0.519015974802814,1.12925968892241,6419.12920393865,1.00230767626907
"b[40]",0.531464681961747,0.030728774628486,1.68799009822402,7.2911112892205e-08,0.0217237020777165,0.185163502466744,0.54878407236232,2.31256609139962,3017.51407811775,1.00513907658468
"log_b[1]",-1.00607727395194,0.0163034488943696,1.56070506202901,-4.25147023444985,-2.00695468887684,-0.940214900661021,0.0581331792041282,1.93943201531642,9163.94987578654,0.999950407705631
"log_b[2]",-1.13639513600014,0.0185192585477837,1.72734333077566,-4.81395962280948,-2.16068793772335,-1.0183515584261,-0.0065100561363745,1.99401165663883,8699.81755779669,0.999872603689859
"log_b[3]",-1.2792674416107,0.0227108381893498,1.95786465916671,-5.22831070021349,-2.28910033925693,-1.10342446180564,-0.0594721710018427,1.9641152645229,7431.88546868297,1.00030002214924
