"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"log_a",2.49636332234715,0.00247203586621794,0.196245878468766,2.10813041111747,2.36625748529112,2.49791574476089,2.62569077779503,2.88499200493985,6302.19089516372,0.99989705732596
"b[1]",0.446130511262311,0.010640928478748,0.752924684423139,0.0147406613183458,0.100471209389607,0.234447002698367,0.501579477684847,2.18945925279394,5006.61300189166,1.00053820102108
"b[2]",0.408810605397218,0.00951604708063761,0.845011726291633,0.0123203816366724,0.0906326633797703,0.221399830988296,0.478325680331587,1.80917292511425,7885.19263098105,0.999771222227238
"b[3]",0.36643351449091,0.0158917298206212,1.35809697962301,0.00994112552744856,0.0854550348178232,0.206151993565288,0.440870923223605,1.5157112060193,7303.30134968588,1.0000460561657
"b[4]",0.301510430107488,0.00321534912875999,0.332924503510405,0.00792703120355017,0.0822686589018131,0.193544517381702,0.404892113296743,1.18952241907195,10720.9988349519,0.99990958974443
"b[5]",0.291384305478258,0.00328804718357525,0.330503727732807,0.00633136580143722,0.078755132448079,0.190007858347968,0.383583448470638,1.19240131908637,10103.6115886235,0.999841952497812
"b[6]",0.279128833253708,0.00342240961922865,0.323099956918506,0.00565778317752421,0.074058638615831,0.183465103633258,0.376892621476565,1.10012004249202,8912.71099919011,1.00012916882735
"b[7]",0.263933884627962,0.00306795086939503,0.29517612971101,0.00464332269951845,0.073065195527254,0.18033331098679,0.36045665733089,0.974110690932613,9256.90202481528,1.00012975084881
"b[8]",0.239844014234673,0.00221331338656237,0.222575599842586,0.00407414558035174,0.0692992449249675,0.174588258282096,0.34654135142129,0.807847323830883,10112.7502895297,0.999674833031853
"b[9]",0.247243635203082,0.00279068613625105,0.270377758910728,0.00322284653844795,0.0656752013617347,0.167957064014346,0.343538018687432,0.907224991369939,9386.85130168088,1.00001449474303
"b[10]",0.250329745988685,0.00345505200776975,0.337726604242223,0.00268766624934131,0.0630031679310874,0.163064965818186,0.340765752945201,0.945241860764352,9554.79488777588,0.999953790760128
"b[11]",0.245025372414702,0.00285076777210753,0.273001083540794,0.00255133066585748,0.0618396578427682,0.162159956875639,0.334173741550764,0.941820400922834,9170.75435235022,1.0006787051427
"b[12]",0.235810075715231,0.0024959471510768,0.243859137100899,0.00192530775531336,0.0598029644512853,0.156188436585852,0.334858499733711,0.900417367926436,9545.689301938,0.999660689423411
"b[13]",0.236703117070688,0.00268030008397441,0.270804209822019,0.00160662377643421,0.0557845145478967,0.152504273022997,0.321671363683199,0.937030189215041,10208.0780733264,0.999751125715149
"b[14]",0.231536540177591,0.00274891601239034,0.275813709243093,0.00149874320325626,0.0539432836470015,0.145605279920232,0.313366905903768,0.950977383416013,10067.2013680247,0.999800757328803
"b[15]",0.224930193643962,0.00262296450485569,0.26223774685621,0.00121943746387714,0.052058441076155,0.143184753080141,0.305358157461219,0.930827345153003,9995.52437250859,0.999793354247546
"b[16]",0.217442914528099,0.00258479089992717,0.247658348533399,0.00113530004616556,0.0500230889943942,0.140739636810466,0.291864952241309,0.906469854053596,9180.26278610855,0.999796206034884
"b[17]",0.215849988380017,0.00255459131300709,0.255667899402247,0.000941880186336549,0.0487568965309127,0.134620124849079,0.29041062636684,0.902006907171294,10016.3512187598,0.999961330508426
"b[18]",0.215702834365588,0.00375769192651251,0.388613958013266,0.000765150486340961,0.0467332253426872,0.133087071341404,0.28360720569295,0.892917832935873,10695.3363559638,0.999924205346838
"b[19]",0.207958177559222,0.00254175221213677,0.253099258701431,0.000679598302213856,0.0436597970368883,0.12918701332092,0.283428896267825,0.863267983599563,9915.51614273512,0.999684616176108
"b[20]",0.200196170957559,0.00225838941398623,0.227117133462179,0.000600594634205756,0.0429160532916667,0.125990589516053,0.275491265239645,0.829591871685893,10113.5153379403,0.999668125294106
"b[21]",0.205605628423753,0.00269273260407828,0.264112737462279,0.000561261961623482,0.0420877223662539,0.123024866410337,0.271677960504034,0.87743172771991,9620.38019102264,1.00025407799882
"b[22]",0.208014978204963,0.00280841948246374,0.269377791210882,0.000425928873732768,0.0413894048573131,0.122983643723958,0.27209107066638,0.897113183240336,9200.24983383529,0.999843654242876
"b[23]",0.205587569451732,0.00266982487090852,0.260730527189154,0.000455511294321529,0.041126579966205,0.120650987817587,0.274013244622965,0.875184035234446,9537.14129091143,1.00020302854688
"b[24]",0.201886810976104,0.00251235242439599,0.246495726806227,0.000372855967792199,0.0407053861228026,0.118059445019149,0.269055831961858,0.877287651557062,9626.26178894323,0.999740608752771
"b[25]",0.200863392795089,0.00275685006707547,0.271098320702193,0.000351360555725338,0.0406422121357896,0.116409239617325,0.261346925287539,0.878830083737021,9670.01972582824,0.999521042609728
"b[26]",0.197858481161956,0.00283373981996558,0.281611788448973,0.000356750236838659,0.0396677118150551,0.115021553362191,0.258212349930292,0.872329350675993,9876.01442206851,0.999438088869326
"b[27]",0.193285421690041,0.00260922086088303,0.256695698848202,0.000382153663538872,0.0384690121815663,0.112325060985891,0.253172701875495,0.830694176307731,9678.66591707782,0.999577099965745
"b[28]",0.185121219690996,0.0023067531717365,0.229565766757848,0.000312224330241792,0.0380574290161846,0.113609395780583,0.248968749845993,0.78810861557978,9904.03117633328,0.999654315143975
"b[29]",0.18688762474452,0.00253917509034818,0.257593339811606,0.000318498827897719,0.0385982443101689,0.110796755842828,0.246209386489168,0.784313026373068,10291.6252076703,0.99988488346699
"b[30]",0.1912386171446,0.00428315648117534,0.410921137628552,0.000308974476086337,0.0394679642213581,0.110595849736715,0.240954335798154,0.777894971472185,9204.26430363125,0.999795852291949
"b[31]",0.179180347383899,0.00259742237241937,0.2514682590205,0.000277029400878066,0.0388358062341175,0.109888123745252,0.238127591408799,0.730713861470002,9373.05566598217,0.999929134273731
"b[32]",0.167930201995486,0.00195415582681021,0.191193182755869,0.000241423112367341,0.0396303148646467,0.107629258084289,0.230674917807785,0.672615510458233,9572.5230740139,0.999948277721053
"b[33]",0.167028207964839,0.00197526779229599,0.195430597793723,0.000272436577494713,0.0398161707120861,0.110250442643518,0.226866050001085,0.673419794617592,9788.88341513034,0.999579333041122
"b[34]",0.16325318546998,0.00185197222500185,0.184264548721553,0.0002752647627559,0.0408772041039731,0.110386785512325,0.224078104584501,0.626833762302113,9899.53140314832,0.999521230160144
"b[35]",0.157325102110815,0.001698236137012,0.168738275767067,0.000249604604645919,0.042630260606878,0.110768953672323,0.217513354218296,0.577513987373157,9872.58900827004,0.999855001551578
"b[36]",0.152958869553544,0.00152786054201512,0.150690650128499,0.000267457965866495,0.0430815963656907,0.111058784796182,0.218094833361395,0.544062978712815,9727.58832748224,0.999945715152632
"b[37]",0.155781005177036,0.00157679193783536,0.153005863813586,0.000225005715912994,0.0444694095743819,0.115606887635967,0.219991278976147,0.551791801382323,9416.01992267525,1.00016116773211
"b[38]",0.158555366220371,0.00166472475400658,0.15960789172563,0.000198584507153319,0.0476971010135133,0.118201164734155,0.221767753323342,0.543309621422484,9192.29275283154,0.999817931315787
"b[39]",0.157455100637595,0.00155409787140246,0.14575366251952,0.000193092125469143,0.0504323147841015,0.122960818329096,0.220475687176207,0.527429383714633,8795.93926530183,0.999834264565466
"b[40]",0.15555470333519,0.00146049539373346,0.131676799053034,0.000225591362252807,0.0543236188974477,0.127246046416397,0.223696433793372,0.477017908605759,8128.64464509077,0.999663410054685
"b[41]",0.170082770648463,0.00169522435812845,0.151864264245317,0.000186775639546109,0.0604380358331856,0.136113365450822,0.23956816562018,0.550006540500937,8025.21752458505,0.999826831651092
"b[42]",0.177763480571867,0.00182627684330212,0.159079348737514,0.000213684369817956,0.0657603491444204,0.145340387381935,0.250626448100322,0.547289408945024,7587.42452221194,0.999714310742308
"b[43]",0.178966264198343,0.00171463859644842,0.143754384832231,0.000222438381854093,0.0721020393717555,0.155016490692896,0.255768493789584,0.504626491186727,7029.05611031126,0.999934210709397
"b[44]",0.178017842490184,0.00152926043695139,0.121162112281334,0.000200753439814719,0.0821617596043473,0.165453806629578,0.258232176364368,0.439830274008604,6277.26937276745,0.999876078587535
"b[45]",0.221461739988269,0.00221775286189725,0.172127718956071,0.000206600725898275,0.0961714856265184,0.196663971592814,0.310126005582579,0.611216370791337,6023.86638578674,0.999847945585966
"b[46]",0.260407007552795,0.00285585617894516,0.222281486797671,0.000185076915344084,0.112913307139832,0.227824428748252,0.360290097147647,0.732130987582816,6058.06489060266,1.00031642335879
"b[47]",0.303818721757851,0.00319835487169263,0.23234523227003,0.000169163789567327,0.132851331167322,0.267862074696391,0.426126198271784,0.860171659594922,5277.32975948026,1.00036548071944
"b[48]",0.350483357736233,0.00366245015011882,0.238324057364018,0.000150607512016183,0.164200395447789,0.329377745443558,0.505536020487409,0.864865046127892,4234.40431472139,1.00051711096744
"b[49]",0.406532103660167,0.00477975685069704,0.322849537935578,0.00013531643444253,0.175610043765844,0.353554891790248,0.564915090327141,1.16855346798316,4562.35137229383,1.00014840969136
"b[50]",0.448964596461238,0.00555459766917682,0.364910341135117,0.000149747345197423,0.187474879489938,0.39027933110436,0.62833012667654,1.30069386722577,4315.85779718081,1.00046816239409
"b[51]",0.464645050909381,0.00492753364604142,0.325996759936178,0.000139174888704469,0.209560100231594,0.431232156018769,0.671032772209776,1.18870761616865,4376.90752054263,1.0001693710708
"b[52]",0.541599952160978,0.0060137273947804,0.39561186687696,0.000169822226818913,0.230256390355575,0.495698104446711,0.781787615282824,1.44662090572269,4327.64019451184,1.0004911978717
"b[53]",0.671608881307243,0.00867679550215334,0.616441073073789,0.000125066406422107,0.246328135117373,0.551922164989505,0.93573547278359,2.11269996523546,5047.36151064773,1.00021003696576
"b[54]",0.817274107150826,0.0123781673553706,0.870867633890349,9.44903844441147e-05,0.268962285222119,0.624837234953438,1.10523383264678,2.85616727683964,4949.84500439268,1.00077642567714
"b[55]",0.855482309174264,0.010941123228578,0.725302888946176,0.000100916313720253,0.293504712142038,0.721643139355795,1.23926875273607,2.62372240987947,4394.55592497674,1.00065260583378
"b[56]",0.913201465448937,0.0112542384548307,0.691627802257638,9.99602868073187e-05,0.31619438047398,0.838680471653732,1.3874361908917,2.39760259333139,3776.70149521783,1.00101631772161
