"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"log_a",2.4607590490263,0.00116484835515661,0.140931464241896,2.18427185283319,2.36638585863562,2.46054636888097,2.55386985194841,2.73444933647989,14637.8450904846,0.99987792432409
"b[1]",0.476438988212995,0.0132680585483003,1.17392946341695,0.008755550333883,0.0602952603112361,0.165988695939813,0.438263955380832,2.89454518315413,7828.33219976156,1.00037288079054
"b[2]",0.415180901700686,0.014572594572754,1.35924209753016,0.00637581465415565,0.0527464019642478,0.146711006529456,0.377928872512234,2.41437284793813,8700.01233862156,1.0005752642689
"b[3]",0.322259437612278,0.00770340207214512,0.695104827520373,0.00514955689585547,0.0462478625065994,0.131667977992278,0.33006560851888,1.84472208956166,8142.08210092472,1.00011476457078
"b[4]",0.252827683669855,0.00373840348312642,0.391257668199305,0.00374244021892301,0.0400428955399353,0.113649923516178,0.294384348360837,1.35588503959,10953.5117714372,1.00022034699222
"b[5]",0.239073106132522,0.00482197617918397,0.480826668868767,0.00284373837575257,0.0348623578387484,0.102263348608987,0.262765485120784,1.32198048756572,9943.21829442314,1.00012592732221
"b[6]",0.216805438323784,0.00587099757476761,0.504722473348263,0.0019182640248565,0.0314850869773289,0.0915390880161538,0.23707202408782,1.15444476965079,7390.63038680023,1.00019449402055
"b[7]",0.184283566194578,0.00303753356115089,0.307827242529488,0.0014806259158868,0.0277470044927619,0.0839878159037913,0.217550523242459,0.971513148049785,10270.0352410736,0.999678162668082
"b[8]",0.158465057567983,0.00204473303618549,0.220909216788199,0.00108601311445727,0.0244219997001594,0.0769777551616082,0.197305223447125,0.816778614985408,11672.2463270253,0.999192158181379
"b[9]",0.157224037929486,0.00445961414239887,0.452154996073331,0.000899767410013753,0.021960529631974,0.0686977322399679,0.180061506554567,0.815328362968919,10279.6919352503,0.999688613160124
"b[10]",0.161392497241383,0.00951471559529155,0.942753551339279,0.000669442985744509,0.0192164045945699,0.0631271356094692,0.163013342207681,0.834790087537988,9817.58638940645,0.999804247199091
"b[11]",0.139896039888413,0.00596026849485984,0.595742995473272,0.000541548573136216,0.0177963270027142,0.0563580400085565,0.14698280685938,0.717560051155988,9990.47739473084,0.999870160557972
"b[12]",0.116082470918608,0.00183937689946097,0.184671940672146,0.000468379311628299,0.0158950595052279,0.0517926878501961,0.136172769375119,0.62410518700595,10079.9962458771,0.999485288803792
"b[13]",0.111475071818292,0.00277629793208578,0.268659205927237,0.000376179469964173,0.0146423742488714,0.0470392145971717,0.125441595669338,0.60639844404961,9364.21366123425,0.999657229551528
"b[14]",0.10188039148404,0.00186103839532866,0.18784196247335,0.000303328275898235,0.0137737829442153,0.0442141574112574,0.114833561706294,0.565114562545473,10187.6629276537,0.999662379287722
"b[15]",0.0947401594709207,0.00164866633151991,0.164490184148403,0.000219631769483108,0.0123693728745133,0.0403097646262435,0.109671602019342,0.504463456610179,9954.38504285599,1.00008309148744
"b[16]",0.0866423972550669,0.00132127582175301,0.134734865887968,0.0001938126359328,0.0112607591877972,0.0383768247783131,0.10205658800267,0.470354626382448,10398.5554770703,1.00076133748908
