"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"log_a",1.90908352821868,0.00242613257322127,0.18557711554231,1.57287911093743,1.77766520048021,1.90183764073359,2.02955285688879,2.29072469158602,5850.8610300153,1.00062337033157
"b[1]",1.38771879757904,0.0170700788587749,1.59097392432956,0.0233499864477143,0.283918917447588,0.833310446685654,1.92371176021111,5.7604313457488,8686.70490873252,0.999743374850081
"b[2]",1.38953877586428,0.0176309005168639,1.62841903356831,0.0143399004440497,0.264660941792934,0.830511602962657,1.92112529303457,5.65123532689679,8530.67408525733,0.999454934619007
"b[3]",1.37487281722354,0.0192767675488678,1.64020300281788,0.011404814903421,0.244480984542263,0.809131112004109,1.90200733078761,5.71258097542867,7239.80359307076,0.999619986466506
"b[4]",1.35087299969233,0.0180159163535273,1.53184368228923,0.00786994522496861,0.242690335970906,0.819579965339832,1.92292264028449,5.39359453728782,7229.63190710348,0.999743878814888
"b[5]",1.33411982089462,0.0167749970631727,1.45741074159627,0.00632947132027489,0.238439646941439,0.830142116132391,1.98575972478769,5.12551650207588,7548.1240080436,0.999729291842388
"b[6]",1.5547627720524,0.0233176597342334,1.8295407958036,0.00428981506500195,0.238464925047836,0.913768157673745,2.24329144859613,6.41057524048076,6156.2220338835,1.00014963865925
"b[7]",1.78227447554887,0.0283537956395617,2.17241447449816,0.00311237332161949,0.23852602515662,0.987731643226915,2.56254949101177,7.65288360506135,5870.33608389295,1.00006244196225
"b[8]",1.83800682992151,0.0288028055525165,2.16319209788831,0.00288369228880443,0.245909795808515,1.03631829714733,2.69791703275874,7.67326561543207,5640.53879471354,1.00030434158545
"b[9]",1.93130143308066,0.0294742737221792,2.09392610603377,0.00225934977188322,0.248057299179236,1.1420082140502,3.04326871490085,7.15478295546233,5047.03687916636,1.00031518938674
"b[10]",2.24922982099736,0.0423106215987831,2.87371725388389,0.0018533188571951,0.239591569401387,1.16933123108623,3.25978203322655,9.86922039232249,4613.06165932233,1.00090571990247
"b[11]",2.5397527081929,0.060682484450361,3.99540036201399,0.00130157268219911,0.227184665731067,1.14726709179129,3.25715519163085,13.0578986082549,4335.04792128761,1.00069093612259
"b[12]",2.06509501624207,0.0360005513617182,2.52376875450644,0.00110174146517923,0.221251440585735,1.09270392319522,3.01323250693068,8.96517239722987,4914.51668829527,1.00026253410265
"b[13]",1.71739447457253,0.0263576678384117,2.01667362919983,0.000887976256356585,0.19863802144499,0.974773846081018,2.55958678173105,7.02133878228239,5854.06145567611,0.999673831169084
"b[14]",1.65424186749715,0.0257095816711699,2.02750985757427,0.000675320101911453,0.195116273026727,0.922956988691564,2.40355478658217,7.05632610906728,6219.22012255396,0.999794740182397
"b[15]",1.62538725034337,0.0265150739739276,2.10491621884379,0.000539312164462685,0.187410043716807,0.880756920710237,2.32652009931272,7.17814578357913,6302.08044764179,1.00006379491186
"b[16]",1.56958809539248,0.0248862227634884,1.95678404681184,0.000464786043140303,0.16732663616228,0.847560638681771,2.2749165723297,7.03234415131216,6182.55273495361,1.00007214048531
"b[17]",1.51748606847463,0.0233947707803854,1.84153401606397,0.00044034479684676,0.162719512189446,0.826607691160044,2.24005798856834,6.48997636376679,6196.14970227615,1.00006710123227
"b[18]",1.58449006561733,0.0264829649701697,2.02476863764354,0.000365532766703167,0.155731134577648,0.804146139688268,2.29671097643893,7.17211360673602,5845.4452665145,1.0001770952681
"b[19]",1.66459973670661,0.0327942604698542,2.61955367181975,0.000290901773736415,0.146718624424206,0.771608081808651,2.24001403566926,8.01642481443297,6380.56178887969,1.00032087566704
