"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"log_a",0.721817574020028,0.00300914703433758,0.188042229556502,0.424064325666873,0.590579640581192,0.694725578653681,0.824867890930935,1.16927208580773,3905.02632341058,1.00043393323786
"b[1]",0.937074400198228,0.0175305250614879,1.20317829014521,0.0134534496364187,0.144958449105046,0.451432342755375,1.2587216886187,4.39422479439799,4710.53381875085,1.00014675742631
"b[2]",0.983026090055628,0.0205844339283824,1.38788278018606,0.00847217733801639,0.127598968322909,0.422270375998932,1.2549134399421,5.0655873223856,4545.98206482327,1.00020632060108
"b[3]",0.802493409825296,0.0165908749778194,1.01724484390381,0.00526287403833811,0.112311432827121,0.378400347417713,1.11061867745438,3.71029057922838,3759.34698926462,1.00038728947893
"b[4]",0.636275659348243,0.0123720375825023,0.777118138753678,0.0031381236254832,0.0965003843832464,0.324535528864863,0.892250253934527,2.80245501400841,3945.40536463231,1.00045826276212
"b[5]",0.492212010697807,0.00920916908943952,0.593328474255821,0.00200210837745549,0.0793313987273274,0.269425848127859,0.691208830774328,2.13693005961312,4150.96897725285,1.00049487377674
"b[6]",0.396668460734216,0.00711423434440338,0.468826430939619,0.00116047028202342,0.0684411559699167,0.226880968043216,0.550961615588176,1.66587303025134,4342.78012914963,1.00046462203812
"b[7]",0.345751392852485,0.00615795257259912,0.417425572610889,0.000824046260826998,0.0570662997866532,0.195062570394142,0.480915121525665,1.49280124429359,4594.99902668728,1.00047308976986
"b[8]",0.302224656520728,0.00514585165217044,0.355549957276862,0.000344080831487523,0.0503187652186983,0.174122890566911,0.429348280299886,1.26299555694147,4774.04752129824,1.0007869701762
"b[9]",0.27175355629663,0.00437503437808756,0.311366656035917,0.000226846276761046,0.0436670087581041,0.161708725691089,0.391271355800303,1.11095761811382,5065.02117275513,1.00075549779983
"b[10]",0.260189930786152,0.00410467689980878,0.29153367639015,0.000154070045080502,0.0413095050292724,0.157714436105625,0.385310422834345,1.03780076063693,5044.51600370197,1.00103413221981
"b[11]",0.262247943203244,0.0043836412866804,0.303735747359178,0.000107311333230657,0.0384102412012722,0.156531184033868,0.381385387626944,1.07697599009024,4800.89048093119,1.00118715914629
"b[12]",0.268250257310362,0.00466042691994922,0.322619732224732,7.66887443545139e-05,0.0362463985359529,0.157391387250158,0.387822272333702,1.11726407344488,4792.15049498226,1.00075847465272
"b[13]",0.248109493840327,0.00403205796411141,0.275084086713333,3.85380195954392e-05,0.0351630987193891,0.153473246765226,0.370867420315279,0.974342982998118,4654.54680431837,1.00072997486575
