"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"log_a",1.82008771933694,0.00430560833446895,0.219367718011826,1.42634410321948,1.66149218500547,1.80714238677783,1.96454909945489,2.28457971768093,2595.83086984209,1.00471117765228
"b[1]",0.17757426876316,0.00204838116646303,0.121217972141925,0.0172680880674291,0.0826636173554273,0.155085068265843,0.247783482196779,0.467476438871906,3501.97047771665,1.00256899935816
"b[2]",0.181073553274168,0.00229648312265045,0.124470089974189,0.0153927173157062,0.082123046109872,0.157518129928942,0.255579785949368,0.472684602226491,2937.67326502678,1.00322905864371
"b[3]",0.186421830262507,0.00250610689842061,0.130631172066614,0.013684983119504,0.0830177765881231,0.160717476296596,0.263517560828817,0.49332446499544,2717.03018389021,1.00388585657667
"b[4]",0.172893237539833,0.00219106414461354,0.118774221115074,0.0119582954620121,0.0788018206279739,0.151554178372383,0.243832834954108,0.448788015755675,2938.55753510209,1.00344906899664
"b[5]",0.151576233304184,0.00183301445853408,0.104860869756325,0.0103337136572956,0.0697979213451731,0.133359180619417,0.212081987133176,0.402612823776116,3272.61660738544,1.00302841755419
"b[6]",0.136617759982377,0.00157123432894451,0.0940918590741121,0.00928512859910009,0.064160963424978,0.120359479983102,0.189451702166302,0.363235308850166,3586.0982215844,1.00248770728321
"b[7]",0.121323437363104,0.0012500075056773,0.0798912301728809,0.00895661160402713,0.0595891098145522,0.108277103233724,0.168616550827001,0.309826021378953,4084.82048636486,1.00139747751672
"b[8]",0.126034987492956,0.00134525592250236,0.0831313548161444,0.00945852653013531,0.0619598539113172,0.112019579715055,0.176222762097783,0.323146229653719,3818.73825051213,1.00265654567046
"b[9]",0.129130693633438,0.00140461241472308,0.083777233042801,0.00870258876759469,0.0643206283576307,0.116069342299203,0.179593563400839,0.323201347482855,3557.45176208611,1.00261978982924
"b[10]",0.135366117442095,0.00147751605816321,0.0852125409374899,0.00968516453631465,0.0692802228882094,0.123651681228656,0.18950522252887,0.32855022462589,3326.15598321663,1.00325251829127
"b[11]",0.132830900517295,0.00135014647853583,0.0811088546023361,0.00997863189270927,0.0702283593719685,0.123868143018618,0.183526454566767,0.314555711522155,3608.89927380532,1.00298448919171
"b[12]",0.141227185578626,0.00145699533957581,0.0848474781528543,0.0100961832635138,0.0750287862696906,0.132596274213923,0.195949926347024,0.329561394839281,3391.26362911356,1.0033104828966
"b[13]",0.146309533689447,0.00148203280072491,0.0848674975516883,0.0105290757179966,0.0799770783504159,0.138899578733215,0.202266262170152,0.329690442877089,3279.19438546281,1.0035842757411
"b[14]",0.161915476326125,0.00172497591785502,0.0950007772082171,0.0112188153781607,0.0892270152473233,0.153338367431726,0.222717273486036,0.368032482571971,3033.11057997778,1.00396377734617
"b[15]",0.1731334274,0.00189540903503419,0.101047884573007,0.012091906679991,0.0960138729822552,0.16369259932915,0.239240088477471,0.395318692711527,2842.1602363598,1.00407866731238
"b[16]",0.179417393929208,0.00195598829670216,0.102157025510044,0.0133083432597285,0.100475409421307,0.171392052637047,0.246500168524044,0.397728417581205,2727.74629421826,1.00424396968989
"b[17]",0.184450710900721,0.00207090708148524,0.105946912441385,0.0142944757655444,0.103821736321055,0.175418018283442,0.252631829824524,0.415928971702455,2617.31131829121,1.00494813648438
"b[18]",0.169796315622426,0.00177108628231732,0.0941816345792675,0.0142903722997945,0.0988150031912247,0.162208353279146,0.230302947611371,0.375231721897091,2827.82811883091,1.00470428731961
"b[19]",0.156423707595192,0.00142323304361494,0.0809561678892935,0.0158735261117919,0.0973291954732457,0.151995368178705,0.21071452203359,0.327290884039633,3235.54800778336,1.00425494370713
"b[20]",0.146104164559282,0.00125686405151595,0.0759358263145556,0.0155981601809985,0.0907112318276667,0.141783646430382,0.195345166741411,0.307608755046136,3650.20147878715,1.00320885754151
"b[21]",0.162053802427669,0.00157936149226301,0.0857882628038669,0.0163936450886501,0.0982259640925533,0.155673302363164,0.21676046325059,0.345428498271997,2950.47987877989,1.00404691839362
"b[22]",0.148543472166787,0.00134896860695719,0.0788603036089417,0.0167067938165684,0.0907890847269185,0.14264002450654,0.197154309668737,0.322600357267357,3417.53683063629,1.00315386297028
"b[23]",0.144178234770927,0.0012330029546041,0.0748713543718606,0.0182794217374339,0.0889195570298626,0.138490917027977,0.191843364419604,0.307982182942377,3687.25475216117,1.00284918301651
"b[24]",0.160288561036151,0.00150817967261817,0.0819574978682111,0.0210407749949192,0.100525575956182,0.154117056645107,0.211485011969861,0.338929220439129,2953.05282699339,1.00402251861929
"b[25]",0.152703805208592,0.00120504571067985,0.0683806397054549,0.0228564155390311,0.10451028802204,0.152009641620669,0.19847705978331,0.289933388244015,3220.02524267872,1.0034210302185
"b[26]",0.167191562880664,0.00144535721296246,0.0780990885350082,0.0248339955295747,0.111341574983116,0.163375612035944,0.218245176117498,0.32819466388774,2919.72227123895,1.00420753200743
"b[27]",0.173582277095004,0.00145386814001746,0.0804794523408631,0.0265137657647394,0.116569049862197,0.17012108142244,0.226091006805825,0.33999584090395,3064.22030176902,1.00381552257035
"b[28]",0.166758400765862,0.00135458714289443,0.0766563132079813,0.0263119945671157,0.113094675772601,0.163995126177558,0.216209890643021,0.328312343552091,3202.44704917559,1.00363208814396
"b[29]",0.153909396158701,0.00116390705576157,0.0720568011711642,0.0256001612686607,0.101487744547144,0.149767961064626,0.199924292437096,0.306305118662645,3832.77526507046,1.0026067693971
"b[30]",0.155214296995416,0.00119956426028195,0.0735729223289488,0.026502018060987,0.102372529879443,0.150039065326615,0.20239765030564,0.311247968727812,3761.74175172197,1.00255754158088
"b[31]",0.165228942937809,0.00118645321092867,0.0740937829867443,0.0305950788390794,0.111646191814999,0.161706904983018,0.214132540662591,0.319835063489925,3899.97933648692,1.00227238157477
"b[32]",0.183468824936829,0.0013015601555641,0.0792070917662148,0.0381283948144406,0.127983006332142,0.17960786758883,0.23473393936946,0.34966546790828,3703.39166697655,1.00269096217736
"b[33]",0.22813910970017,0.00160364082272092,0.0897983266190458,0.0540001289663688,0.168872010620104,0.22623495453062,0.287675290833643,0.408448207384849,3135.61173381826,1.00388330118726
"b[34]",0.299770540090204,0.00255128211056866,0.12409026005809,0.0624419729885088,0.213777157656001,0.296110975093971,0.384107155799255,0.548804868419553,2365.69320157399,1.00490193462201
"b[35]",0.331182701343667,0.00307894567328262,0.144316804375058,0.0689875136673947,0.228120239448668,0.324868793732358,0.42525728520066,0.633569936480926,2196.9984740935,1.00566113644827
"b[36]",0.251322592889509,0.00182454777800105,0.100045137213687,0.0581368756472405,0.183346826249242,0.249506139179482,0.316930944186895,0.45359596528598,3006.64039236531,1.00449642593282
"b[37]",0.234373057267402,0.00166833405648644,0.0908490606616516,0.0567727275860208,0.17334018818085,0.234542222926307,0.295642245746821,0.414641075801751,2965.34243026491,1.00421708430386
"b[38]",0.22672906203497,0.00177782430439475,0.0943535286747894,0.0482158356322127,0.161514104296661,0.22304077361022,0.291047755180876,0.417288728941475,2816.68716829626,1.00394114410329
"b[39]",0.196829442418622,0.00151380814791831,0.0871477091016377,0.0369577714787634,0.135499491180828,0.192675384511026,0.252637311005801,0.379936112176233,3314.13559494257,1.00227153321734
"b[40]",0.171378135913817,0.00129772828940711,0.0824054078196064,0.0261962057231728,0.112934776666345,0.16530717376562,0.222603469091037,0.353993358758113,4032.21686768279,1.00188672710119
"b[41]",0.16216270734871,0.00127962252465225,0.081353168312659,0.0226593634094959,0.103741687191254,0.155745032483461,0.213893797769727,0.339772719466507,4041.89651629505,1.0021230785919
"b[42]",0.153377990993668,0.00118829359829349,0.0758760054105241,0.0196386826099637,0.0986928761368053,0.148355308143725,0.202685423709911,0.318769536569398,4077.19424713097,1.00186633312868
"b[43]",0.160412818723971,0.00139424085142924,0.0824527154552836,0.0185897030863688,0.100961591747609,0.153393133899893,0.213149190817118,0.340122820488855,3497.31152578494,1.00237427844078
"b[44]",0.160154931598633,0.00141506695758891,0.0831815850219968,0.0170541555504339,0.0995885256803527,0.153084442596817,0.213462760228816,0.34073895114491,3455.41650138616,1.00225001224033
"b[45]",0.155489143761689,0.00131161359051809,0.0821720290634724,0.0145274290694598,0.0958196825687268,0.149037643408611,0.20855312956383,0.334271034895808,3924.96877511877,1.00191791034143
